"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,234","0","1,042","0","17","0","1","0","4","0","0","0","3,298"
"CMCF","1,317","420","772","518","17","6","3","2","3","1","1","0","3,060"
"SMCI","2,116","0","994","0","50","0","4","0","3","0","0","0","3,167"
"County Jails (approved)","670","50","413","82","5","1","2","0","1","0","1","0","1,225"
"County Jails (unapproved)","297","8","134","15","1","0","0","0","1","0","0","0","456"
"Private Prisons","3,199","0","1,061","0","21","0","3","0","7","0","0","0","4,291"
"Regional Correctional Facilities","2,708","135","1,217","163","35","1","2","0","7","1","2","0","4,271"
"Community Work Centers","890","53","470","139","3","2","1","0","3","0","0","0","1,561"
"Community Trusties","10","0","2","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","28","2","11","3","1","0","0","0","0","0","0","0","45"
"Court Order","241","7","162","26","4","0","0","0","3","0","0","0","443"
"CUSTODY POPULATION","13,710","675","6,278","946","154","10","16","2","32","2","4","0","21,829"
"Intensive Supervison Program","610","157","548","250","6","1","3","1","0","0","2","3","1,581"
"Earned Release Supervision","1,001","88","441","82","4","0","0","0","1","0","0","0","1,617"
"Medical Release","17","1","5","2","0","0","0","0","0","0","0","0","25"
"Other Custody","199","10","154","20","43","4","0","1","2","0","4","0","437"
"At Large","22","0","9","2","3","0","0","0","0","0","0","0","36"
"Off-Grounds Medical (Hospital)","3","0","4","1","0","0","0","0","0","0","0","0","8"
"TOTAL","15,562","931","7,439","1,303","210","15","19","4","35","2","10","3","25,533"
"% OF TOTAL OFFENDERS","60.95%","3.65%","29.13%","5.10%",".82%",".06%",".07%",".02%",".14%",".01%",".04%",".01%","100.00%"
