"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,905","1","1,413","1","19","0","3","0","2","0","0","0","5,344"
"CMCF","1,150","776","618","451","5","4","2","4","4","2","0","0","3,016"
"SMCI","1,414","0","622","0","15","0","0","0","2","0","0","0","2,053"
"County Jails (approved)","895","62","460","24","7","2","4","0","1","0","0","0","1,455"
"County Jails (unapproved)","61","8","50","9","0","0","0","0","0","0","0","0","128"
"Private Prisons","2,829","0","768","0","6","0","2","0","2","0","0","0","3,607"
"Regional Correctional Facilities","1,600","0","396","0","3","0","4","0","2","0","0","0","2,005"
"Community Work Centers","874","73","304","45","6","0","2","0","0","2","1","0","1,307"
"Community Trusties","15","0","8","0","0","0","0","0","0","0","0","0","23"
"","12,743","920","4,639","530","61","6","17","4","13","4","1","0","18,938"
"Intensive Supervison Program","681","131","495","140","3","1","4","1","1","0","0","0","1,457"
"Earned Release Supervision","686","73","247","31","2","0","0","0","1","0","0","0","1,040"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","96","6","98","12","4","0","0","0","1","1","0","0","218"
"At Large","57","7","20","5","1","0","0","0","1","0","0","0","91"
"University of MS Medical Center","3","2","2","0","0","0","0","0","0","0","0","0","7"
"TOTAL","14,266","1,139","5,501","718","71","7","21","5","17","5","1","0","21,751"
"% of Total Offenses","65.59%","5.24%","25.29%","3.30%","0.33%","0.03%","0.10%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
