"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,189","0","1,465","0","35","0","6","0","8","0","1","0","5,704"
"CMCF","1,132","836","631","597","21","6","2","1","1","4","0","0","3,231"
"SMCI","1,347","0","698","0","0","0","0","0","0","0","0","0","2,045"
"County Jails (approved)","1,060","59","692","55","11","1","3","1","4","0","7","0","1,893"
"County Jails (unapproved)","120","14","88","23","1","0","0","0","1","0","1","1","249"
"Private Prisons","2,475","0","945","0","8","0","2","0","4","0","0","0","3,434"
"Regional Correctional Facilities","2,104","0","626","0","12","0","1","0","3","0","0","0","2,746"
"Community Work Centers","1,012","116","405","95","6","0","1","0","2","0","1","0","1,638"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","13,454","1,025","5,557","770","94","7","15","2","23","4","10","1","20,962"
"Intensive Supervison Program","563","92","436","170","7","2","3","2","3","0","1","2","1,281"
"Earned Release Supervision","838","85","264","33","2","0","1","0","1","0","0","0","1,224"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","137","3","110","12","4","0","0","0","0","0","0","0","266"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","14,992","1,205","6,367","985","107","9","19","4","27","4","11","3","23,733"
"% of Total Offenses","63.17%","5.08%","26.83%","4.15%","0.45%","0.04%","0.08%","0.02%","0.11%","0.02%","0.05%","0.01%","100.00%"
