"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,366","0","1,027","0","33","0","3","0","6","0","1","0","3,436"
"CMCF","1,458","384","1,045","592","25","8","5","5","14","2","1","1","3,540"
"SMCI","1,955","0","1,052","0","33","0","1","0","4","0","0","0","3,045"
"County Jails (approved)","358","1","350","14","8","0","0","0","4","0","2","0","737"
"County Jails (unapproved)","190","11","131","25","3","0","1","0","5","0","0","1","367"
"Youthful Offender Facility","32","0","3","0","1","0","0","0","0","0","0","0","36"
"Private Prisons","2,310","0","897","0","23","0","8","0","2","0","1","0","3,241"
"Regional Correctional Facilities","2,202","77","1,231","102","41","1","6","0","11","0","1","0","3,672"
"Community Work Centers","303","25","214","128","1","3","2","1","0","1","0","0","678"
"Community Trusties","3","0","3","0","0","0","0","0","0","0","0","0","6"
"TVC","15","0","5","0","0","0","0","0","0","0","0","0","20"
"Transitional Housing","8","3","12","6","0","0","0","0","0","0","0","0","29"
"Pending File Review","61","5","46","7","1","0","0","0","2","0","0","0","122"
"RRP","44","7","52","29","0","0","0","0","0","0","0","0","132"
"Court Order","111","5","80","13","0","0","0","0","0","0","0","0","209"
"","11,416","518","6,148","916","169","12","26","6","48","3","6","2","19,270"
"Intensive Supervison Program","280","64","228","123","3","1","2","0","2","1","1","0","705"
"Earned Release Supervision","427","30","132","23","0","1","0","0","1","0","0","0","614"
"Medical Release","9","0","5","1","0","0","0","0","0","0","0","0","15"
"Other Custody","221","5","171","21","27","0","0","0","2","0","1","0","448"
"At Large","15","0","7","2","3","0","0","0","0","0","0","0","27"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","5","1","5","0","0","0","0","0","0","0","0","0","11"
"TOTAL","12,376","618","6,700","1,087","202","14","28","6","53","4","8","2","21,098"
"% OF TOTAL OFFENDERS","58.66%","2.93%","31.76%","5.15%",".96%",".07%",".13%",".03%",".25%",".02%",".04%",".01%","100.00%"
