"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,189","0","1,004","1","22","0","2","0","4","0","0","0","3,222"
"CMCF","1,274","504","783","616","19","7","5","3","1","1","0","0","3,213"
"SMCI","2,088","0","1,020","0","40","0","6","0","4","0","0","0","3,158"
"County Jails (approved)","681","45","386","77","2","0","1","0","0","0","0","0","1,192"
"County Jails (unapproved)","134","4","56","9","1","0","0","0","0","0","0","0","204"
"Private Prisons","3,874","0","1,237","0","29","0","8","0","3","0","0","0","5,151"
"Regional Correctional Facilities","1,987","28","933","32","31","0","2","0","6","0","2","0","3,021"
"Community Work Centers","796","50","414","134","6","1","0","0","4","0","0","0","1,405"
"Community Trusties","8","0","5","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","83","18","50","19","2","0","0","0","0","0","0","0","172"
"Court Order","172","8","94","16","0","0","0","0","1","0","0","0","291"
"","13,286","657","5,982","904","152","8","24","3","23","1","2","0","21,042"
"Intensive Supervison Program","636","153","575","251","7","0","5","1","6","1","2","0","1,637"
"Earned Release Supervision","943","74","384","58","6","0","0","0","2","0","0","0","1,467"
"Medical Release","23","5","9","3","0","0","0","0","0","0","0","0","40"
"Other Custody","181","8","129","19","40","4","1","1","1","0","5","0","389"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","3","3","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15,094","900","7,093","1,237","208","12","30","5","32","2","9","0","24,622"
"% OF TOTAL OFFENDERS","61.30%","3.66%","28.81%","5.02%",".84%",".05%",".12%",".02%",".13%",".01%",".04%",".00%","100.00%"
