"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,261","0","953","0","22","0","3","0","9","0","1","0","3,249"
"CMCF","1,469","384","1,047","545","23","5","3","2","10","0","0","0","3,488"
"SMCI","1,660","0","959","0","27","0","3","0","6","0","0","0","2,655"
"County Jails (approved)","371","0","344","8","7","0","0","0","2","1","1","0","734"
"County Jails (unapproved)","178","9","150","18","2","1","0","0","0","0","2","0","360"
"Youthful Offender Facility","19","1","3","0","0","0","0","0","0","0","0","0","23"
"Private Prisons","2,285","0","882","0","17","0","8","0","2","0","0","0","3,194"
"Regional Correctional Facilities","2,663","54","1,404","118","60","2","9","0","9","0","0","0","4,319"
"Community Work Centers","273","29","175","104","3","1","1","2","3","0","0","0","591"
"Community Trusties","7","0","1","0","0","0","0","0","0","0","0","0","8"
"TVC","54","0","28","0","0","0","0","0","0","0","0","0","82"
"Transitional Housing","21","1","16","3","0","0","0","0","0","0","0","0","41"
"Pending File Review","30","2","27","6","0","0","0","0","2","0","0","0","67"
"RRP","25","3","22","27","0","1","0","0","0","0","0","0","78"
"Court Order","120","2","98","10","0","0","0","0","0","0","0","0","230"
"","11,436","485","6,109","839","161","10","27","4","43","1","4","0","19,119"
"Intensive Supervison Program","349","70","274","130","0","0","0","0","0","2","1","0","826"
"Earned Release Supervision","380","25","122","29","1","2","0","1","2","0","1","0","563"
"Medical Release","5","0","9","0","0","0","0","0","0","0","0","0","14"
"Other Custody","256","5","184","24","28","0","0","0","2","0","1","0","500"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","8","0","4","0","0","0","0","0","0","0","0","0","12"
"TOTAL","12,451","585","6,711","1,025","193","12","27","5","47","3","7","0","21,066"
"% OF TOTAL OFFENDERS","59.10%","2.78%","31.86%","4.87%",".92%",".06%",".13%",".02%",".22%",".01%",".03%",".00%","100.00%"
