"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,232","3","1,175","0","30","0","3","0","5","0","1","0","4,449"
"CMCF","1,173","796","673","686","17","5","3","2","0","4","0","0","3,359"
"SMCI","1,786","0","912","0","38","0","1","0","10","0","0","0","2,747"
"County Jails (approved)","688","68","454","75","13","2","1","0","3","0","10","0","1,314"
"County Jails (unapproved)","79","6","59","13","4","0","0","0","1","0","1","0","163"
"Private Prisons","3,604","0","1,126","0","23","0","5","0","6","0","2","0","4,766"
"Regional Correctional Facilities","2,151","0","848","0","19","0","2","0","6","0","0","0","3,026"
"Community Work Centers","1,049","99","490","113","8","0","1","2","2","0","0","0","1,764"
"Community Trusties","15","0","3","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","61","5","23","6","1","0","0","0","0","0","0","0","96"
"Court Order","155","8","104","41","0","0","2","0","0","0","0","0","310"
"","13,993","985","5,867","934","153","7","18","4","33","4","14","0","22,012"
"Intensive Supervison Program","425","112","415","176","7","2","1","1","0","1","4","1","1,145"
"Earned Release Supervision","1,043","92","440","72","2","3","3","0","1","0","0","0","1,656"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","127","9","120","14","33","3","0","0","4","0","3","1","314"
"At Large","50","2","18","3","5","0","0","0","1","0","0","0","79"
"Off-Grounds Medical (Hospital)","1","0","6","2","0","0","0","0","0","0","0","0","9"
"TOTAL","15,643","1,200","6,870","1,201","200","15","22","5","39","5","21","2","25,223"
"% OF TOTAL OFFENSES","62.02%","4.76%","27.24%","4.76%","0.79%","0.06%","0.09%","0.02%","0.15%","0.02%","0.08%","0.01%","100.00%"
