"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,194","0","1,156","1","23","0","1","0","6","0","0","0","3,381"
"CMCF","1,422","355","949","499","26","4","7","2","7","2","0","2","3,275"
"SMCI","1,994","0","1,009","0","24","0","2","0","4","0","0","0","3,033"
"County Jails (approved)","359","3","286","28","4","0","0","0","1","0","1","0","682"
"County Jails (unapproved)","162","14","128","21","0","0","1","0","2","0","2","0","330"
"Youthful Offender Facility","24","0","3","0","1","0","0","0","0","0","0","0","28"
"Private Prisons","2,228","0","803","0","20","0","6","0","2","0","0","0","3,059"
"Regional Correctional Facilities","2,336","99","1,188","132","48","4","6","0","13","0","1","0","3,827"
"Community Work Centers","310","37","220","132","4","4","1","0","2","1","0","0","711"
"Community Trusties","24","0","20","0","0","0","0","0","1","0","0","0","45"
"TVC","0","2","0","3","0","0","0","0","0","0","0","0","5"
"Transitional Housing","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pending File Review","28","4","17","6","0","0","0","0","1","0","0","0","56"
"Court Order","130","3","94","15","1","0","0","0","1","0","0","0","244"
"","11,211","517","5,873","837","151","12","24","2","40","3","4","2","18,676"
"Intensive Supervison Program","290","70","229","141","3","3","2","1","2","0","2","0","743"
"Earned Release Supervision","450","44","137","31","3","1","0","0","0","0","0","0","666"
"Medical Release","7","0","4","1","0","0","0","0","0","0","0","0","12"
"Other Custody","214","7","198","20","26","1","0","0","3","0","1","0","470"
"At Large","17","0","7","2","3","0","0","0","0","0","1","0","30"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","6","0","4","1","0","0","0","0","0","0","0","0","11"
"TOTAL","12,198","638","6,457","1,034","186","17","26","3","45","3","8","2","20,617"
"% OF TOTAL OFFENDERS","59.16%","3.09%","31.32%","5.02%",".90%",".08%",".13%",".01%",".22%",".01%",".04%",".01%","100.00%"
