"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,917","0","1,144","1","34","0","2","0","3","0","1","0","4,102"
"CMCF","1,298","743","713","672","21","11","1","1","2","2","0","0","3,464"
"SMCI","2,031","0","993","0","50","0","3","0","8","0","0","0","3,085"
"County Jails (approved)","558","94","326","97","12","1","2","0","1","0","1","0","1,092"
"County Jails (unapproved)","184","11","88","20","6","0","0","0","0","1","4","2","316"
"Private Prisons","4,092","0","1,331","0","33","0","7","0","7","0","1","0","5,471"
"Regional Correctional Facilities","2,134","0","769","0","17","0","3","0","8","0","1","0","2,932"
"Community Work Centers","1,008","107","448","145","15","0","2","0","1","0","0","0","1,726"
"Community Trusties","13","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","67","11","37","10","0","0","0","1","0","0","0","0","126"
"Court Order","184","6","88","16","1","0","0","0","1","0","0","0","296"
"","14,486","972","5,941","961","189","12","20","2","31","3","8","2","22,627"
"Intensive Supervison Program","460","143","396","158","4","0","2","1","4","1","1","2","1,172"
"Earned Release Supervision","1,108","99","472","61","4","0","2","0","2","0","0","0","1,748"
"Medical Release","19","4","12","1","0","0","0","0","0","0","0","0","36"
"Other Custody","128","11","117","13","41","3","0","1","1","0","4","1","320"
"At Large","29","1","14","2","3","0","0","0","0","0","0","0","49"
"Off-Grounds Medical (Hospital)","5","1","4","0","0","0","0","0","0","0","0","0","10"
"TOTAL","16,235","1,231","6,956","1,196","241","15","24","4","38","4","13","5","25,962"
"% OF TOTAL OFFENSES","62.53%","4.74%","26.79%","4.61%","0.93%","0.06%","0.09%","0.02%","0.15%","0.02%","0.05%","0.02%","100.00%"
