"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,215","0","1,445","0","37","0","6","0","4","0","0","0","5,707"
"CMCF","1,057","842","575","542","9","6","4","0","1","4","0","0","3,040"
"SMCI","1,391","0","735","0","16","0","5","0","6","0","0","0","2,153"
"County Jails (approved)","1,020","50","651","63","8","1","3","0","4","0","0","0","1,800"
"County Jails (unapproved)","103","9","93","21","0","0","0","0","2","0","0","0","228"
"Private Prisons","2,586","0","895","0","7","0","3","0","4","0","0","0","3,495"
"Regional Correctional Facilities","2,005","0","578","0","12","0","0","0","3","0","0","0","2,598"
"Community Work Centers","881","113","371","102","8","0","1","0","2","1","0","0","1,479"
"Community Trusties","16","0","9","0","1","0","0","0","0","0","0","0","26"
"","13,274","1,014","5,352","728","98","7","22","0","26","5","0","0","20,526"
"Intensive Supervison Program","573","126","482","179","6","1","2","2","2","0","0","0","1,373"
"Earned Release Supervision","830","80","275","55","4","0","0","1","1","1","0","0","1,247"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","96","2","90","9","3","0","0","0","0","0","0","0","200"
"At Large","93","6","47","9","2","0","0","0","0","1","0","0","158"
"University of MS Medical Center","2","0","0","0","0","0","0","0","0","0","0","0","2"
"TOTAL","14,868","1,228","6,246","980","113","8","24","3","29","7","0","0","23,506"
"% of Total Offenses","63.25%","5.22%","26.57%","4.17%","0.48%","0.03%","0.10%","0.01%","0.12%","0.03%","0.00%","0.00%","100.00%"
