"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,246","2","1,202","0","35","0","4","0","5","0","0","0","4,494"
"CMCF","1,195","746","683","678","13","7","3","0","0","5","2","0","3,332"
"SMCI","1,497","0","768","0","27","0","3","0","5","0","1","0","2,301"
"County Jails (approved)","768","67","511","76","9","3","3","1","4","0","12","0","1,454"
"County Jails (unapproved)","55","5","36","7","0","0","0","1","1","0","2","0","107"
"Private Prisons","3,638","0","1,170","0","22","0","3","0","8","0","3","0","4,844"
"Regional Correctional Facilities","2,206","0","830","0","21","0","3","0","6","0","1","0","3,067"
"Community Work Centers","1,045","106","481","103","11","1","4","1","3","0","0","0","1,755"
"Community Trusties","15","0","3","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","56","9","17","9","0","1","1","0","0","0","0","0","93"
"Court Order","118","9","99","32","0","0","1","0","0","0","0","0","259"
"","13,839","944","5,800","905","138","12","25","3","32","5","21","0","21,724"
"Intensive Supervison Program","589","167","517","212","11","1","1","0","1","0","7","3","1,509"
"Earned Release Supervision","1,046","102","410","75","3","1","2","0","1","0","0","0","1,640"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","118","7","109","12","28","1","0","0","3","0","2","1","281"
"At Large","79","5","29","4","5","0","0","0","1","0","0","0","123"
"Off-Grounds Medical (Hospital)","1","0","2","1","0","0","0","0","0","0","0","0","4"
"TOTAL","15,676","1,225","6,871","1,209","185","15","28","3","38","5","30","4","25,289"
"% OF TOTAL OFFENSES","61.99%","4.84%","27.17%","4.78%","0.73%","0.06%","0.11%","0.01%","0.15%","0.02%","0.12%","0.02%","100.00%"
