"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,098","0","1,177","0","33","0","5","0","8","0","0","0","4,321"
"CMCF","1,057","728","605","631","12","8","4","2","2","5","1","1","3,056"
"SMCI","1,457","0","703","0","24","0","2","0","5","0","1","0","2,192"
"County Jails (approved)","637","64","480","94","8","3","0","1","4","0","3","1","1,295"
"County Jails (unapproved)","25","3","7","3","1","0","0","0","0","0","0","0","39"
"Private Prisons","3,648","0","1,150","0","19","0","6","0","9","0","0","0","4,832"
"Regional Correctional Facilities","2,235","0","755","0","22","0","0","0","5","0","1","0","3,018"
"Community Work Centers","946","120","485","102","4","1","1","0","3","0","1","0","1,663"
"Community Trusties","9","0","6","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","2","1","4","1","0","0","0","0","0","0","0","0","8"
"Court Order","165","9","132","31","1","0","2","0","3","0","1","0","344"
"","13,279","925","5,504","862","124","12","20","3","39","5","8","2","20,783"
"Intensive Supervison Program","680","150","606","202","4","1","2","0","3","1","7","1","1,657"
"Earned Release Supervision","1,195","127","439","64","5","1","1","0","0","0","0","0","1,832"
"Medical Release","4","0","3","1","0","0","0","0","0","0","0","0","8"
"Other Custody","133","12","122","14","20","0","0","0","0","0","2","0","303"
"At Large","67","3","38","5","4","0","0","0","0","0","0","0","117"
"Off-Grounds Medical (Hospital)","1","0","2","3","0","0","0","0","0","0","0","0","6"
"TOTAL","15,359","1,217","6,714","1,151","157","14","23","3","42","6","17","3","24,706"
"% OF TOTAL OFFENSES","62.17%","4.93%","27.18%","4.66%","0.64%","0.06%","0.09%","0.01%","0.17%","0.02%","0.07%","0.01%","100.00%"
