"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,119","2","1,123","0","32","0","1","0","7","0","1","0","4,285"
"CMCF","1,255","795","691","701","12","6","3","2","0","2","0","0","3,467"
"SMCI","1,984","0","992","0","47","0","2","0","13","0","0","0","3,038"
"County Jails (approved)","677","63","442","77","5","2","0","0","3","0","5","0","1,274"
"County Jails (unapproved)","110","4","53","11","3","0","0","0","2","0","3","0","186"
"Private Prisons","3,616","1","1,127","0","28","0","5","0","6","0","4","0","4,787"
"Regional Correctional Facilities","2,170","0","834","0","20","0","2","0","7","0","0","0","3,033"
"Community Work Centers","1,033","117","511","131","10","0","1","2","2","0","2","0","1,809"
"Community Trusties","14","0","3","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","52","1","26","2","2","0","0","0","0","0","0","0","83"
"Court Order","158","9","118","34","0","0","2","0","0","0","0","0","321"
"","14,188","992","5,920","956","159","8","16","4","40","2","15","0","22,300"
"Intensive Supervison Program","445","128","397","202","6","2","1","1","0","2","5","4","1,193"
"Earned Release Supervision","1,063","105","443","78","7","0","2","0","2","0","0","0","1,700"
"Medical Release","6","1","6","0","0","0","0","0","0","0","0","0","13"
"Other Custody","136","10","121","15","32","3","0","0","5","0","4","1","327"
"At Large","46","2","16","2","4","0","0","0","0","0","0","0","70"
"Off-Grounds Medical (Hospital)","5","1","5","0","0","0","0","0","0","0","0","0","11"
"TOTAL","15,889","1,239","6,908","1,253","208","13","19","5","47","4","24","5","25,614"
"% OF TOTAL OFFENSES","62.03%","4.84%","26.97%","4.89%","0.81%","0.05%","0.07%","0.02%","0.18%","0.02%","0.09%","0.02%","100.00%"
