"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,799","0","1,091","0","25","0","2","0","3","0","0","0","3,920"
"CMCF","1,284","569","806","594","18","8","0","2","1","2","0","0","3,284"
"SMCI","1,760","0","903","0","48","0","5","0","5","0","0","0","2,721"
"County Jails (approved)","596","82","347","88","6","1","0","1","0","0","3","0","1,124"
"County Jails (unapproved)","125","12","65","22","2","0","0","0","0","0","1","0","227"
"Private Prisons","4,073","0","1,412","0","34","0","7","0","7","0","1","0","5,534"
"Regional Correctional Facilities","2,081","45","810","30","23","0","6","0","7","0","2","0","3,004"
"Community Work Centers","866","106","378","124","7","3","2","2","0","0","0","0","1,488"
"Community Trusties","15","0","1","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","25","4","13","6","0","0","0","0","0","0","0","0","48"
"Court Order","118","10","71","19","1","0","0","0","0","0","0","0","219"
"","13,742","828","5,897","883","164","12","22","5","23","2","7","0","21,585"
"Intensive Supervison Program","565","143","417","203","7","0","2","0","5","0","2","0","1,344"
"Earned Release Supervision","967","86","362","55","7","0","1","0","1","0","0","0","1,479"
"Medical Release","20","7","8","2","0","0","0","0","0","0","0","0","37"
"Other Custody","153","10","124","15","43","3","0","1","2","0","5","1","357"
"At Large","26","0","15","2","3","0","0","0","0","0","0","0","46"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15,479","1,074","6,826","1,160","224","15","25","6","31","2","14","1","24,857"
"% OF TOTAL OFFENSES","62.27%","4.32%","27.46%","4.67%","0.90%","0.06%","0.10%","0.02%","0.12%","0.01%","0.06%","0.00%","100.00%"
