"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,849","1","1,387","0","17","0","2","0","3","0","1","0","5,260"
"CMCF","1,076","769","597","428","8","7","3","1","3","3","0","0","2,895"
"SMCI","1,448","0","610","0","13","0","0","0","2","0","0","0","2,073"
"County Jails (approved)","968","58","492","43","6","1","2","1","1","0","0","0","1,572"
"County Jails (unapproved)","56","7","46","7","0","0","0","0","0","0","0","0","116"
"Private Prisons","2,891","0","729","0","8","0","2","0","2","0","0","0","3,632"
"Regional Correctional Facilities","1,591","0","422","0","4","0","3","0","2","0","0","0","2,022"
"Community Work Centers","892","75","275","50","5","0","2","1","0","1","0","0","1,301"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","12,786","910","4,565","528","61","8","14","3","13","4","1","0","18,893"
"Intensive Supervison Program","621","117","449","121","3","1","3","2","2","0","0","0","1,319"
"Earned Release Supervision","683","76","242","35","5","0","0","1","0","0","0","0","1,042"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","88","6","93","10","4","0","0","0","0","1","0","0","202"
"At Large","48","4","22","4","1","0","0","0","1","0","0","0","80"
"University of MS Medical Center","3","1","1","0","1","0","0","0","0","0","0","0","6"
"TOTAL","14,230","1,114","5,372","698","75","9","17","6","16","5","1","0","21,543"
"% of Total Offenses","66.05%","5.17%","24.94%","3.24%","0.35%","0.04%","0.08%","0.03%","0.07%","0.02%","0.00%","0.00%","100.00%"
