"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"22,493 
  
2,404 
  
24,897","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,746","1,187","","7,933","31.86"
"Black","15,523","1,193","","16,716","67.14"
"Hispanic","148","12","","160",".64"
"Other","57","11","","68",".27"
"Unknown Race","19","1","","20",".08"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"14","1","0","","1",".00"
"15","4","0","","4",".02"
"16","17","0","","17",".07"
"17","49","1","","50",".20"
"18  -  19","483","31","","514","2.06"
"20  -  29","8,521","708","","9,229","37.07"
"30  -  39","6,556","796","","7,352","29.53"
"40  -  49","4,601","637","","5,238","21.04"
"50  -  59","1,811","191","","2,002","8.04"
"60  -  69","358","35","","393","1.58"
"70  -  79","77","4","","81",".33"
"80+","5","1","","6",".02"
"Verification Pending","10","0","","10",".04"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Possession of Drugs","3,926","525","","4,451","17.88"
"Sale of Drugs","3,840","444","","4,284","17.21"
"Property","3,210","820","","4,030","16.19"
"Burglary","2,974","171","","3,145","12.63"
"Robbery","2,685","108","","2,793","11.22"
"Homicide/Manslaughter","2,314","192","","2,506","10.07"
"Sex Offense","2,019","25","","2,044","8.21"
"Violent","1,525","119","","1,644","6.60"
