"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,274","1,497","2,446","5,217"
"CMCF","1,022","1,114","869","3,005"
"SMCI","575","737","676","1,988"
"County Jails (approved)","593","626","223","1,442"
"County Jails (unapproved)","56","44","18","118"
"Private Prisons","875","799","1,826","3,500"
"Regional Correctional Facilities","738","544","765","2,047"
"Community Work Centers","579","627","37","1,243"
"Community Trusties","9","8","4","21"
"CUSTODY POPULATION","5,721","5,996","6,864","18,581"
"Intensive Supervison Program","333","868","24","1,225"
"Earned Release Supervision","401","491","121","1,013"
"Medical Release","0","1","0","1"
"Other Custody","57","94","59","210"
"At Large","20","49","39","78"
"University of MS Medical Center","1","2","3","6"
"TOTAL","6,533","7,501","7,080","21,114"
"% of Total Offenses","30.94%","35.53%","33.53%","100.00%"
