"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,408","1,297","2,999","5,704"
"CMCF","1,070","1,142","976","3,188"
"SMCI","693","747","711","2,151"
"County Jails (approved)","808","682","270","1,760"
"County Jails (unapproved)","73","88","40","201"
"Private Prisons","669","942","1,867","3,478"
"Regional Correctional Facilities","881","589","1,120","2,590"
"Community Work Centers","770","636","10","1,416"
"Community Trusties","9","9","5","23"
"CUSTODY POPULATION","6,381","6,132","7,998","20,511"
"Intensive Supervison Program","472","895","39","1,406"
"Earned Release Supervision","462","491","229","1,182"
"Medical Release","0","0","0","0"
"Other Custody","55","79","64","198"
"At Large","57","76","23","156"
"University of MS Medical Center","1","1","1","3"
"TOTAL","7,428","7,674","8,354","23,456"
"% of Total Offenses","31.67%","32.72%","35.62%","100.00%"
