"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,304","1,089","2,080","4,473"
"CMCF","1,105","1,034","944","3,083"
"SMCI","652","551","717","1,920"
"County Jails (approved)","680","476","132","1,288"
"County Jails (unapproved)","67","66","14","147"
"Private Prisons","1,040","1,091","2,758","4,889"
"Regional Correctional Facilities","874","585","1,579","3,038"
"Community Work Centers","1,095","657","2","1,754"
"Community Trusties","11","4","5","20"
"Pending File Review","5","12","5","22"
"Court Order","129","148","64","341"
"TOTAL CUSTODY POPULATION","6,962","5,713","8,300","20,975"
"Intensive Supervison Program","602","922","41","1,565"
"Earned Release Supervision","704","633","330","1,667"
"Medical Release","4","2","3","9"
"Other Custody","120","125","73","318"
"At Large","34","77","20","131"
"Off-Grounds Medical (Hospital)","0","6","1","7"
