"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,265","1,068","2,112","4,445"
"CMCF","1,223","1,165","1,027","3,415"
"SMCI","751","667","885","2,303"
"County Jails (approved)","719","480","109","1,308"
"County Jails (unapproved)","69","54","30","153"
"Private Prisons","1,061","1,143","2,694","4,898"
"Regional Correctional Facilities","938","587","1,544","3,069"
"Community Work Centers","1,177","588","4","1,769"
"Community Trusties","9","3","5","17"
"Pending File Review","13","22","12","47"
"Court Order","141","153","47","341"
"TOTAL CUSTODY POPULATION","7,366","5,930","8,469","21,765"
"Intensive Supervison Program","530","883","38","1,451"
"Earned Release Supervision","721","588","351","1,660"
"Medical Release","4","2","2","8"
"Other Custody","123","101","73","297"
"At Large","29","54","23","106"
"Off-Grounds Medical (Hospital)","2","2","3","7"
