"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","712","614","1,324","446"
"CMCF","920","972","959","322"
"SMCI","829","824","1,051","434"
"County Jails (approved)","789","455","31","22"
"County Jails (unapproved)","103","127","38","9"
"Private Prisons","649","1,047","2,650","815"
"Regional Correctional Facilities","716","668","1,253","629"
"Community Work Centers","950","600","4","0"
"Community Trusties","3","5","5","0"
"Pending File Review","67","60","5","1"
"Court Order","131","130","50","13"
"TOTAL CUSTODY POPULATION","5,869","5,502","7,370","2,691"
"Intensive Supervison Program","810","714","36","7"
"Earned Release Supervision","406","498","595","6"
"Medical Release","16","8","6","0"
"Other Custody","159","136","90","15"
"At Large","","","",""
"University of MS Medical Center","","","",""
"TOTAL","","","","",""
"% of Total Offenses","%","%","%","100.00%"
