"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,286","1,437","2,537","5,260"
"CMCF","1,024","1,037","834","2,895"
"SMCI","644","725","704","2,073"
"County Jails (approved)","675","657","240","1,572"
"County Jails (unapproved)","42","53","21","116"
"Private Prisons","905","893","1,834","3,632"
"Regional Correctional Facilities","766","522","734","2,022"
"Community Work Centers","626","639","36","1,301"
"Community Trusties","10","8","4","22"
"CUSTODY POPULATION","5,978","5,971","6,944","18,893"
"Intensive Supervison Program","316","980","23","1,319"
"Earned Release Supervision","390","512","140","1,042"
"Medical Release","0","1","0","1"
"Other Custody","52","84","66","202"
"At Large","20","51","39","80"
"University of MS Medical Center","2","1","6"
"TOTAL","6,758","7,600","7,185","21,543"
"% of Total Offenses","31.37%","35.28%","33.35%","100.00%"
