"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","752","629","1,371","470"
"CMCF","940","992","973","308"
"SMCI","851","771","1,098","438"
"County Jails (approved)","699","426","48","19"
"County Jails (unapproved)","86","78","33","7"
"Private Prisons","687","1,065","2,605","794"
"Regional Correctional Facilities","658","617","1,158","588"
"Community Work Centers","899","502","4","0"
"Community Trusties","4 8","4","5","0"
"Pending File Review","6","63","21","2"
"Court Order","107","117","49","18"
"TOTAL CUSTODY POPULATION","5,769","5,264","7,365","2,644"
"Intensive Supervison Program","849","737","43"
"Earned Release Supervision","404","470","587","8 6"
"Medical Release","21","12","6"
"Other Custody","152","135","89","1 1
3"
