"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","621","565","175","1,203","502","3,066"
"CMCF","544","574","107","702","259","2,186"
"SMCI","479","646","136","957","496","2,714"
"County Jails (approved)","648","399","30","91","57","1,225"
"Youthful Offender Facility","1","3","6","18","4","32"
"County Jails (unapproved)","8","43","6","11","4","92"
"Private Prisons","522","716","269","2,103","699","4,309"
"Regional Correctional Facilities","738","826","367","1,472","867","4,270"
"Community Work Centers","669","390","0","7","0","1,066"
"Community Trusties","5","0","0","0","0","5"
"Transitional Housing","1","1","0","0","0","2"
"TVC","0","1","1","0","0","2"
"Pending File Review","9","89","4","17","1","200"
"Court Order","89","74","12","42","12","229"
"TOTAL CUSTODY POPULATION","4,434","4,327","1,113","6,623","2,901","19,398"
"% OF TOTAL OFFENSES","22.86%","22.31%","5.74%","34.14%","14.96%","100.00%"
"Intensive Supervison Program","616","753","15","37","4","1,425"
"Earned Release Supervision","345","285","173","398","5","1,206"
"Medical Release","11","7","0","2","0","20"
"Other Custody","182","195","16","83","8","504"
"At Large","6","15","0","7","0","28"
"Off-Grounds Medical (Hospital)","0","2","0","0","3","5"
"TOTAL","5,594","5,584","1,317","7,150","2,941","22,586"
"% OF TOTAL OFFENSES","24.77%","24.72%","5.83%","31.66%","13.02%","100.00%"
