"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","603","597","177","1,442","560","3,379"
"CMCF","806","967","159","1,140","352","3,424"
"SMCI","504","605","189","1,137","543","2,978"
"County Jails (approved)","417","253","19","112","5","806"
"Youthful Offender Facility","0","1","4","27","4","36"
"County Jails (unapproved)","116","143","9","68","16","352"
"Private Prisons","274","359","215","1,650","562","3,060"
"Regional Correctional Facilities","639","747","314","1,477","766","3,943"
"Community Work Centers","481","251","0","73","0","805"
"Community Trusties","26","10","0","2","0","38"
"Pending File Review","49","46","2","14","3","114"
"Court Order","67","87","8","50","10","222"
"TVC","2","14","0","3","1","20"
"TOTAL CUSTODY POPULATION","3,984","4,080","1,096","7,195","2,822","19,177"
"% OF TOTAL OFFENSES","20.77%","21.28%","5.72%","37.52%","14.72%","100.00%"
"Intensive Supervison Program","301","350","11","56","6","724"
"Earned Release Supervision","172","42","126","292","5","637"
"Medical Release","6","4","0","2","0","12"
"Other Custody","180","218","14","91","23","526"
"At Large","8","14","0","6","0","28"
"Transitional Housing","0","2","0","0","0","2"
"Conditional Release","0","0","0","2","0","2"
"RRP","2","10","0","4","0","16"
"Off-Grounds Medical (Hospital)","1","1","0","2","0","4"
"TOTAL","4,654","4,721","1,247","7,650","2,856","21,128"
"% OF TOTAL OFFENSES","22.03%","22.35%","5.90%","36.21%","13.52%","100.00%"
