"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,215","1,724","2,377","5,316"
"CMCF","973","1,269","908","3,150"
"SMCI","506","552","697","1,755"
"County Jails (approved)","758","850","262","1,870"
"County Jails (unapproved)","80","138","41","259"
"Private Prisons","815","1,340","1,751","3,906"
"Regional Correctional Facilities","895","783","1,064","2,742"
"Community Work Centers","940","773","7","1,720"
"Community Trusties","12","5","5","22"
"CUSTODY POPULATION","6,194","7,434","7,112","20,740"
"Intensive Supervison Program","448","776","41","1,265"
"Earned Release Supervision","558","553","204","1,315"
"Medical Release","0","0","0","0"
"Other Custody/At Large","80","119","72","271"
"TOTAL","7,280","8,882","7,429","23,591"
"% of Total Offenses","30.86%","37.65%","31.49%","100.00%"
