"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,456","1,297","2,581","5,334"
"CMCF","1,069","1,018","867","2,954"
"SMCI","641","669","718","2,028"
"County Jails (approved)","744","678","245","1,667"
"County Jails (unapproved)","77","103","32","212"
"Private Prisons","825","996","1,851","3,672"
"Regional Correctional Facilities","826","505","800","2,131"
"Community Work Centers","644","629","38","1,311"
"Community Trusties","7","6","5","18"
"CUSTODY POPULATION","6,289","5,901","7,137","19,327"
"Intensive Supervison Program","396","1,053","32","1,481"
"Earned Release Supervision","429","542","145","1,116"
"Medical Release","0","0","0","0"
"Other Custody","65","104","72","241"
"At Large","29","45","39","83"
"University of MS Medical Center","1","2","3","6"
"TOTAL","7,209","7,647","7,398","22,254"
"% of Total Offenses","32.39%","34.36%","33.24%","100.00%"
