"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,501","1,337","2,619","5,457"
"CMCF","1,105","1,057","869","3,031"
"SMCI","695","696","679","2,070"
"County Jails (approved)","787","812","258","1,857"
"County Jails (unapproved)","72","88","32","192"
"Private Prisons","728","934","1,775","3,437"
"Regional Correctional Facilities","971","617","908","2,496"
"Community Work Centers","640","605","28","1,273"
"Community Trusties","6","7","5","18"
"CUSTODY POPULATION","6,505","6,153","7,173","19,831"
"Intensive Supervison Program","413","1,025","38","1,476"
"Earned Release Supervision","403","489","158","1,050"
"Medical Release","0","0","0","0"
"Other Custody","62","106","70","238"
"At Large","26","51","10","87"
"University of MS Medical Center","3","3","1","7"
"TOTAL","7,412","7,827","7,450","22,689"
"% of Total Offenses","32.67%","34.50%","32.84%","100.00%"
