"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,275","1,129","2,126","4,530"
"CMCF","1,168","1,138","1,001","3,307"
"SMCI","755","645","855","2,255"
"County Jails (approved)","706","503","154","1,363"
"County Jails (unapproved)","55","61","44","160"
"Private Prisons","1,065","1,116","2,680","4,861"
"Regional Correctional Facilities","928","581","1,557","3,066"
"Community Work Centers","1,155","625","0","1,780"
"Community Trusties","9","4","5","18"
"Pending File Review","23","22","14","59"
"Court Order","113","127","48","288"
"TOTAL CUSTODY POPULATION","7,252","5,951","8,484","21,687"
"Intensive Supervison Program","530","908","35","1,473"
"Earned Release Supervision","743","613","337","1,693"
"Medical Release","4","2","3","9"
"Other Custody","131","108","74","313"
"At Large","38","63","25","126"
"Off-Grounds Medical (Hospital)","2","2","1","5"
