"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,137","1,160","2,183","4,480"
"CMCF","969","1,061","946","2,976"
"SMCI","708","625","838","2,171"
"County Jails (approved)","784","684","180","1,648"
"County Jails (unapproved)","70","79","23","172"
"Private Prisons","1,024","1,174","2,623","4,821"
"Regional Correctional Facilities","883","574","1,279","2,736"
"Community Work Centers","1,009","708","3","1,720"
"Community Trusties","7","3","5","15"
"Pending File Review","92","188","50","330"
"TOTAL CUSTODY POPULATION","6,683","6,256","8,130","21,069"
"Intensive Supervison Program","553","954","28","1,535"
"Earned Release Supervision","758","741","364","1,863"
"Medical Release","3","2","2","7"
"Other Custody","117","108","60","285"
"At Large","32","55","14","101"
"Off-Grounds Medical (Hospital)","2","2","5","9"
"TOTAL","8,148","8,118","8,603","24,869"
"% OF TOTAL OFFENSES","32.76%","32.64%","34.59%","100.00%"
