"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","965","792","2,163","3,920"
"CMCF","924","957","1,319","3,200"
"SMCI","898","780","1,286","2,964"
"County Jails (approved)","642","394","76","1,112"
"County Jails (unapproved)","58","72","29","159"
"Private Prisons","844","1,132","3,299","5,275"
"Regional Correctional Facilities","600","517","1,683","2,800"
"Community Work Centers","1,131","645","13","1,789"
"Community Trusties","7","3","6","16"
"Pending File Review","38","36","9","83"
"Court Order","83","76","44","203"
"TOTAL CUSTODY POPULATION","6,190","5,404","9,927","21,521"
"Intensive Supervison Program","663","707","43","1,413"
"Earned Release Supervision","404","480","531","1,415"
"Medical Release","18","9","8","35"
"Other Custody","143","116","95","354"
"At Large","12","25","8","45"
"Off-Grounds Medical (Hospital)","2","2","6","10"
