"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,397","1,364","2,598","5,359"
"CMCF","1,046","1,053","886","2,985"
"SMCI","639","700","711","2,050"
"County Jails (approved)","764","674","247","1,685"
"County Jails (unapproved)","66","78","26","170"
"Private Prisons","894","936","1,848","3,678"
"Regional Correctional Facilities","786","505","733","2,024"
"Community Work Centers","642","634","42","1,318"
"Community Trusties","8","8","5","21"
"CUSTODY POPULATION","6,242","5,952","7,096","19,290"
"Intensive Supervison Program","376","1,042","35","1,453"
"Earned Release Supervision","384","514","148","1,046"
"Medical Release","0","0","0","0"
"Other Custody","63","92","75","230"
"At Large","26","54","29","89"
"University of MS Medical Center","4","3","9"
"TOTAL","7,095","7,657","7,365","22,117"
"% of Total Offenses","32.08%","34.62%","33.30%","100.00%"
