"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","769","590","1,428","474","3,261"
"CMCF","952","962","980","325","3,219"
"SMCI","845","798","1,111","421","3,175"
"County Jails (approved)","669","417","44","25","1,155"
"County Jails (unapproved)","86","90","17","14","207"
"Private Prisons","713","1,128","2,601","791","5,233"
"Regional Correctional Facilities","655","616","1,141","583","2,995"
"Community Work Centers","981","528","7","0","1,516"
"Community Trusties","5 6","3","5","0","13"
"Pending File Review","3","54","15","2","134"
"Court Order","100","85","52","12","249"
"TOTAL CUSTODY POPULATION","5,838","5,271","7,401","2,647","21,157"
"Intensive Supervison Program","858","745","42","7","1,652"
"Earned Release Supervision","355","483","606","3","1,447"
"Medical Release","22","14","7","0","43"
"Other Custody","142","128","89","2","371"
