"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,152","892","2,029","4,073"
"CMCF","1,294","1,127","1,177","3,598"
"SMCI","1,108","849","1,123","3,080"
"County Jails (approved)","881","499","159","1,539"
"County Jails (unapproved)","110","154","64","328"
"Private Prisons","1,022","1,127","2,852","5,001"
"Regional Correctional Facilities","1,025","527","1,526","3,078"
"Community Work Centers","1,252","546","1","1,799"
"Community Trusties","7","7","6","20"
"Pending File Review","35","37","11","83"
"Court Order","155","115","69","339"
"TOTAL CUSTODY POPULATION","8,041","5,880","9,017","22,938"
"Intensive Supervison Program","497","675","39","1,211"
"Earned Release Supervision","786","616","439","1,841"
"Medical Release","18","10","6","34"
"Other Custody","121","113","78","312"
"At Large","16","31","11","58"
"Off-Grounds Medical (Hospital)","3","0","2","5"
