"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,112","935","1,997","4,044"
"CMCF","1,041","1,057","1,136","3,234"
"SMCI","969","851","1,142","2,962"
"County Jails (approved)","702","309","58","1,069"
"County Jails (unapproved)","92","98","49","239"
"Private Prisons","1,029","1,203","3,252","5,484"
"Regional Correctional Facilities","738","590","1,595","2,923"
"Community Work Centers","1,141","541","2","1,684"
"Community Trusties","6","5","6","17"
"Pending File Review","108","47","9","164"
"Court Order","98","90","47","235"
"TOTAL CUSTODY POPULATION","7,036","5,726","9,293","22,055"
"Intensive Supervison Program","480","749","27","1,256"
"Earned Release Supervision","558","577","464","1,599"
"Medical Release","20","12","7","39"
"Other Custody","136","120","84","340"
"At Large","14","29","10","53"
"Off-Grounds Medical (Hospital)","1","3","3","7"
