"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","710","617","1,283","430"
"CMCF","862","961","913","327"
"SMCI","827","843","1,071","440"
"County Jails (approved)","778","467","40","20"
"County Jails (unapproved)","140","165","50","13"
"Private Prisons","641","1,076","2,639","815"
"Regional Correctional Facilities","788","736","1,322","628"
"Community Work Centers","960","556","4","0"
"Community Trusties","6","5","5","0"
"Pending File Review","42","48","7","2"
"Court Order","123","140","60","17"
"TOTAL CUSTODY POPULATION","5,877","5,614","7,394","2,692"
"Intensive Supervison Program","832","741","44","8 4"
"Earned Release Supervision","420","511","620"
"Medical Release","14","5","6 8","0"
"Other Custody","170","138","4","20"
