"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","572","549","180","1,516","564","3,381"
"CMCF","730","896","131","1,185","333","3,275"
"SMCI","483","514","187","1,310","539","3,033"
"County Jails (approved)","353","215","12","96","6","682"
"Youthful Offender Facility","0","1","2","19","6","28"
"County Jails (unapproved)","113","143","13","52","9","330"
"Private Prisons","266","337","196","1,688","572","3,059"
"Regional Correctional Facilities","601","644","303","1,488","791","3,827"
"Community Work Centers","411","203","0","97","0","711"
"Community Trusties","22","13","0","10","0","45"
"Pending File Review","24","24","7","1","0","56"
"Court Order","83","84","14","57","6","244"
"Transitional Housing","0","0","0","0","0","0"
"TVC","4","1","0","0","0","5"
"TOTAL CUSTODY POPULATION","3,662","3,624","1,045","7,519","2,826","18,676"
"% OF TOTAL OFFENSES","19.61%","19.40%","5.60%","40.26%","15.13%","100.00%"
"Intensive Supervison Program","321","333","13","72","4","743"
"Earned Release Supervision","125","45","141","349","6","666"
"Medical Release","7","3","0","2","0","12"
"Other Custody","155","194","10","83","28","470"
"At Large","8","16","0","6","0","30"
"Conditional Release","0","0","0","2","1","3"
"FTR- Monitoring","4","2","0","0","0","6"
"Off-Grounds Medical (Hospital)","1","3","0","5","2","11"
"TOTAL","4,283","4,220","1,209","8,038","2,867","20,617"
"% OF TOTAL OFFENSES","20.78%","20.47%","5.86%","38.99%","13.91%","100.00%"
