"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,182","1,221","2,290","4,693"
"CMCF","1,048","1,187","911","3,146"
"SMCI","715","614","834","2,163"
"County Jails (approved)","737","702","206","1,645"
"County Jails (unapproved)","115","142","46","303"
"Private Prisons","962","1,298","2,422","4,682"
"Regional Correctional Facilities","910","639","1,185","2,734"
"Community Work Centers","1,023","697","0","1,720"
"Community Trusties","7","6","5","18"
"Pending File Review","62","104","19","185"
"CUSTODY POPULATION","6,761","6,610","7,918","21,289"
"Intensive Supervison Program","432","806","20","1,258"
"Earned Release Supervision","648","656","262","1,566"
"Medical Release","2","1","0","3"
"Other Custody/At Large","108","139","81","328"
"Off-Grounds Medical (Hospital)","2","5","2","9"
"TOTAL","7,953","8,217","8,283","24,453"
"% of Total Offenses","32.52%","33.60%","33.87%","100.00%"
