"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","600","563","175","1,204","495","3,037"
"CMCF","535","534","105","668","246","2,088"
"SMCI","481","604","133","917","487","2,622"
"County Jails (approved)","624","376","25","91","57","1,173"
"Youthful Offender Facility","1","1","7","20","4","33"
"County Jails (unapproved)","7","60","5","12","2","106"
"Private Prisons","510","690","277","2,152","705","4,334"
"Regional Correctional Facilities","728","779","360","1,471","879","4,217"
"Community Work Centers","681","413","0","7","0","1,101"
"Community Trusties","6","0","0","0","0","6"
"Transitional Housing","1","1","0","0","0","2"
"TVC","0","2","1","0","0","3"
"Pending File Review","4","98","7","23","3","195"
"Court Order","92","74","15","42","10","233"
"TOTAL CUSTODY POPULATION","4,350","4,195","1,110","6,607","2,888","19,150"
"% OF TOTAL OFFENSES","22.72%","21.91%","5.80%","34.50%","15.08%","100.00%"
"Intensive Supervison Program","566","707","14","36","5","1,328"
"Earned Release Supervision","307","241","166","394","5","1,113"
"Medical Release","11","7","0","2","0","20"
"Other Custody","193","200","16","84","8","521"
"At Large","6","15","0","7","0","28"
"Off-Grounds Medical (Hospital)","2","1","1","1","7","12"
"TOTAL","5,435","5,366","1,307","7,131","2,933","22,172"
"% OF TOTAL OFFENSES","24.51%","24.20%","5.90%","32.16%","13.23%","100.00%"
