"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,107","930","1,882","3,919"
"CMCF","1,222","1,080","1,166","3,468"
"SMCI","1,140","867","1,129","3,136"
"County Jails (approved)","783","410","99","1,292"
"County Jails (unapproved)","111","120","57","288"
"Private Prisons","1,097","1,225","3,171","5,493"
"Regional Correctional Facilities","1,003","539","1,534","3,076"
"Community Work Centers","1,253","560","0","1,813"
"Community Trusties","7","4","6","17"
"Pending File Review","30","36","13","79"
"Court Order","105","90","55","250"
"TOTAL CUSTODY POPULATION","7,858","5,861","9,112","22,831"
"Intensive Supervison Program","476","664","38","1,178"
"Earned Release Supervision","725","629","451","1,805"
"Medical Release","21","11","6","38"
"Other Custody","126","115","81","322"
"At Large","15","29","11","55"
"Off-Grounds Medical (Hospital)","0","3","2","5"
