"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,007","833","2,080","3,920"
"CMCF","953","1,126","1,205","3,284"
"SMCI","892","772","1,057","2,721"
"County Jails (approved)","671","391","62","1,124"
"County Jails (unapproved)","81","104","42","227"
"Private Prisons","1,006","1,271","3,257","5,534"
"Regional Correctional Facilities","709","629","1,666","3,004"
"Community Work Centers","944","536","8","1,488"
"Community Trusties","7","3","6","16"
"Pending File Review","22","20","6","48"
"Court Order","100","79","40","219"
"TOTAL CUSTODY POPULATION","6,392","5,764","9,429","21,585"
"Intensive Supervison Program","593","723","28","1,344"
"Earned Release Supervision","475","539","465","1,479"
"Medical Release","20","10","7","37"
"Other Custody","143","126","88","357"
"At Large","12","26","8","46"
"Off-Grounds Medical (Hospital)","3","1","5","9"
