"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","18,775","35.00%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,377","2.57%"
"Other Custody","459",".86%"
"At Large (Escapees & Walk-Aways)","30",".06%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20,652","38.50%"
"PAROLEES","8,409","15.68%"
"TVC Parole","145","0.27%"
"PROBATIONERS","24,316","45.33%"
"TVC Probation","118","0.22%"
"PAROLEE AND PROBATIONER TOTAL","32,988","61.50%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,640","100.00%"
