"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","19,349","48.50%",""
"Community Corrections (ERS, ISP, Medical Release)","2,531","6.34%",""
"Other Custody","230","0.58%",""
"At Large (Escapees & Walk-Aways)","83","0.21%",""
"University of MS Medical Center","12","0.03%",""
"Inmate Total","22,205","55.66%"
"PAROLEES","1,883","4.72%",""
"PROBATIONERS","15,804","39.62%",""
"Parolees & Probationers Total","17,687","44.34%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,892","100.00%",""
