"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","19,179","34.77%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1,391","2.52%"
"Other Custody","526",".95%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","4",".01%"
"INMATE TOTAL","21,128","38.30%"
"PAROLEES","7,458","13.52%"
"TVC Parole","129","0.23%"
"PROBATIONERS","26,321","47.71%"
"TVC Probation","130","0.24%"
"PAROLEE AND PROBATIONER TOTAL","34,038","61.70%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,166","100.00%"
