"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","19,073","48.68%",""
"Community Corrections (ERS, ISP, Medical Release)","2,468","6.30%",""
"Other Custody","213","0.54%",""
"At Large (Escapees & Walk-Aways)","95","0.24%",""
"University of MS Medical Center","6","0.02%",""
"Inmate Total","21,855","55.78%"
"PAROLEES","1,859","4.74%",""
"PROBATIONERS","15,466","39.47%",""
"Parolees & Probationers Total","17,325","44.22%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,180","100.00%",""
