"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,237","35.14%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,427","2.61%"
"Other Custody","476",".87%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21,172","38.67%"
"PAROLEES","8,902","16.26%"
"TVC Parole","281","0.51%"
"PROBATIONERS","24,251","44.30%"
"TVC Probation","141","0.26%"
"PAROLEE AND PROBATIONER TOTAL","33,575","61.33%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,747","100.00%"
