"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,598","34.53%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report, Bond Monitoring, Contempt)","1,491","2.77%"
"Other Custody","482",".89%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","20,605","38.26%"
"PAROLEES","8,319","15.45%"
"TVC Parole","102","0.19%"
"PROBATIONERS","24,691","45.84%"
"TVC Probation","143","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33,255","61.74%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","53,860","100.00%"
