"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","600","569","183","1,289","489","3,130"
"CMCF","543","587","116","712","250","2,208"
"SMCI","443","566","119","826","446","2,400"
"County Jails (approved)","584","322","11","54","24","995"
"Youthful Offender Facility","1","4","15","3","24"
"County Jails (unapproved)","7","166","13","37","18","321"
"Private Prisons","476","603","294","1,955","660","3,988"
"Regional Correctional Facilities","739","782","373","1,461","874","4,229"
"Community Work Centers","648","391","1","5","0","1,045"
"Community Trusties","0","0","0","8"
"Pending File Review","8 6 6","4","2","4","3","29"
"Court Order","7","92","10","37","11","217"
"TOTAL CUSTODY POPULATION","4,202","4,093","1,126","6,395","2,778","18,594"
"% OF TOTAL OFFENSES","22.60%","22.01%","6.06%","34.39%","14.94%","100.00%"
"Intensive Supervison Program","521","660","14","36","5","1,236"
"Earned Release Supervision","259","122","159","374","5","919"
"Medical Release","9","6","0","2","","17"
"Other Custody","196","223","15","75","6","535"
"At Large","4","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","1","1","5"
"TOTAL","5,194","5,120","1,314","6,890","2,815","21,333"
"% OF TOTAL OFFENSES","24.35%","24.00%","6.16%","32.30%","13.20%","100.00%","1 8
6 1
0 1
21
0 2"
