"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED VIOLENTOFFENSES","SEX OFFENSES","TOTAL"
"MSP","591","582","173","1,261","501","3,108"
"CMCF","496","517","106","703","247","2,069"
"SMCI","458","538","109","839","477","2,421"
"County Jails (approved)","571","339","25","85","55","1,075"
"Youthful Offender Facility","1","5","18","3","27"
"County Jails (unapproved)","4","60","5","23","6","138"
"Private Prisons","494","600","294","2,099","723","4,210"
"Regional Correctional Facilities","726","717","361","1,451","873","4,128"
"Community Work Centers","640","420","0","8","0","1,068"
"Community Trusties","0","0","0","9"
"Pending File Review","9","0","2","10","2","63"
"Court Order","92","104","15","41","6","258"
"TOTAL CUSTODY POPULATION","4,149","3,899","1,095","6,538","2,893","18,574"
"% OF TOTAL OFFENSES","22.34%","20.99%","5.90%","35.20%","15.58%","100.00%"
"Intensive Supervison Program","530","673","14","35","5","1,257"
"Earned Release Supervision","277","160","161","402","5","1,005"
"Medical Release","10","7","0","2","19"
"Other Custody","191","208","17","86","6","528"
"At Large","4","0","7","0","27"
"Off-Grounds Medical (Hospital)","1","2","1","9"
"TOTAL","5,165","4,964","1,288","7,072","2,930","21,419"
"% OF TOTAL OFFENSES","24.12%","23.18%","6.01%","33.02%","13.68%","100.00%","0 4
8 2
6 2
1 2
31
0 2"
