"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","45","80","60","68","67","23"
"Investigation","115","128","143","118","136","96"
"Acceptance","90","141","139","102","99","97"
"Rejection","27","55","21","21","24","18"
"Cancellation","0","0","0","0","0","0"
"Pending","115","128","143","118","136","96"
"Progress Report","6","0","2","4","0","1"
"Violation","56","63","50","33","41","38"
"Probation Warrant","7","4","6","3","1","2"
"Parole Warrant","0","11","1","1","5","5"
"Closure","106","96","78","98","85","62"
"Discharge","25","18","4","7","5","6"
"New File","0","0","0","0","0","4"
"Updates","300","337","326","209","330","413"
"Revocation","0","0","0","0","0","0"
"File Deletion","4","1","1","0","0","3"
"Inquiries","615","568","12","433","495","286"
"TOTAL","1,511","1,630","986","1,215","1,424","1,150"
