"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","35","48","64","45","68","48"
"Reporting Instruction","139","101","141","102","138","124"
"Investigation","80","86","57","86","114","98"
"Acceptance","65","62","54","63","86","79"
"Rejection","4","10","10","28","34","44"
"Cancellation","0","0","0","3","0","0"
"Pending","80","86","57","86","114","98"
"Progress Report","0","0","4","4","0","3"
"Violation","47","61","59","31","74","56"
"Probation Warrant","11","10","12","9","16","16"
"Parole Warrant","0","0","2","1","1","1"
"Closure","96","64","84","67","70","72"
"Discharge","11","20","40","11","19","27"
"New File","0","0","0","0","0","0"
"Updates","180","241","259","201","280","255"
"Revocation","0","0","0","0","0","0"
"File Deletion","3","0","1","0","1","1"
"Inquiries","72","161","162","59","132","126"
"TOTAL","823","950","1,006","796","1,147","1,048"
