"REGIONS 
REGION I 
REGION II  REGION III 
TOTAL","","","",""
"Probation","2,811","2,703","3,002","8,516"
"Parole","2,205","1,359","2,621","6,185"
"Compact Probation","471","330","718","1,519"
"Compact Parole","202","121","294","617"
"Drug Court","897","439","991","2,327"
"Suspension","2","1","2","5"
"Earned Release Supervision","596","415","596","1,607"
"Medical Release","9","2","5","13"
"Non-Adjudicated Cases","788","1,029","1,310","3,127"
"Diversion Program","0","-","157","157"
"Post Release Supervision","3,110","2,136","2,796","8,042"
"ISP-Court Sentenced","421","227","528","1,176"
"ISP-Prison Releases","166","144","90","397"
"TOTAL CASELOAD","11,695","8,922","13,130","33,688"
"Restitution Center","71","111","80","262"
"Community Work Center","499","590","427","1,516"
"RID Program","N/A","28","N/A","28"
