"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","0","0","0","0","0","0"
"Investigation","132","94","124","114","144","107"
"Acceptance","103","82","109","60","115","92"
"Rejection","37","25","39","12","33","34"
"Cancellation","0","0","0","0","0","0"
"Pending","132","94","109","114","144","107"
"Progress Report","0","1","13","0","2","15"
"Violation","34","44","68","45","40","47"
"Probation Warrant","1","4","3","3","6","2"
"Parole Warrant","3","4","1","3","2","4"
"Closure","74","85","101","69","99","83"
"Discharge","5","14","16","4","8","9"
"New File","0","1","0","0","1","1"
"Updates","334","324","402","254","348","308"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","4","3","2","5","3"
"Inquiries","305","272","537","425","970","699"
"TOTAL","1,160","1,048","1,525","1,105","1,917","1,511"
