"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,780","34.57%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1,351","2.49%"
"Other Custody","506",".93%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20,674","38.05%"
"PAROLEES","7,792","14.34%"
"TVC Parole","59","0.11%"
"PROBATIONERS","25,672","47.25%"
"TVC Probation","131","0.24%"
"PAROLEE AND PROBATIONER TOTAL","33,654","61.95%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","54,328","100.00%"
