"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","19,327","47.82%",""
"Community Corrections (ERS, ISP, Medical Release)","2,597","6.43%",""
"Other Custody","241","0.60%",""
"At Large (Escapees & Walk-Aways)","83","0.21%",""
"University of MS Medical Center","6","0.01%",""
"Inmate Total","22,254","55.07%"
"PAROLEES","1,872","4.63%",""
"PROBATIONERS","16,286","40.30%",""
"Parolees & Probationers Total","18,158","44.93%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","40,412","100.00%",""
