date,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson
2017-05-01,17,20,2,22,3
2017-05-02,17,20,2,22,3
2017-05-03,18,26,2,20,3
2017-05-04,18,26,2,20,3
2017-05-05,18,26,2,20,3
2017-05-06,17,26,2,21,2
2017-05-07,17,25,2,21,2
2017-05-08,17,23,4,21,2
2017-05-09,17,23,5,21,2
2017-05-10,16,28,5,20,2
2017-05-22,15,27,3,12,2
2017-05-23,16,26,3,12,2
2017-05-24,16,26,3,12,2
2017-05-25,16,26,3,13,2
2017-05-26,16,26,3,13,2
2017-05-27,15,26,3,12,2
2017-05-28,15,26,3,12,2
2017-05-29,15,26,3,12,2
2017-05-30,14,26,3,12,2
2017-05-31,15,26,4,12,2
2017-06-02,14,26,4,12,3
2017-06-03,14,26,4,12,3
2017-06-04,14,26,4,12,3
2017-06-05,14,22,4,12,3
2017-06-06,14,21,4,10,3
2017-06-07,14,21,4,10,3
2017-06-08,8,23,4,10,2
2017-06-09,8,22,5,10,2
2017-06-10,8,22,5,10,2
2017-06-11,8,22,5,10,2
2017-06-12,6,22,5,10,2
2017-06-13,7,28,5,10,2
2017-06-14,7,28,5,10,1
2017-06-15,7,27,5,3,1
2017-06-16,5,27,5,2,1
2017-06-17,5,27,5,1,1
2017-06-18,5,27,5,1,1
2017-06-19,5,27,5,1,1
2017-06-20,5,27,5,1,2
2017-06-21,5,27,5,1,2
2017-06-22,5,27,5,1,2
2017-06-23,5,27,5,1,2
2017-06-24,5,27,5,1,2
2017-06-25,5,27,5,1,2
2017-06-26,5,27,7,0,2
2017-06-27,5,32,7,0,2
2017-06-28,5,32,7,0,2
2017-06-29,5,32,7,0,2
2017-06-30,5,32,7,0,2
2017-07-02,5,32,7,0,2
2017-07-03,5,29,7,0,2
2017-07-04,5,29,7,0,2
2017-07-05,5,29,7,0,2
2017-07-06,5,34,7,0,2
2017-07-07,5,34,7,0,2
2017-07-08,2,34,7,0,1
2017-07-09,2,34,7,0,1
2017-07-10,1,34,7,0,1
2017-07-11,1,34,7,0,1
2017-07-12,1,34,7,0,1
2017-07-13,1,34,6,0,2
2017-07-14,1,34,6,0,2
2017-07-15,1,34,6,0,2
2017-07-16,1,34,6,0,2
2017-07-17,1,34,6,0,2
2017-08-02,1,31,4,0,0
2017-08-03,1,31,5,0,0
2017-08-04,1,9,3,0,0
2017-08-05,1,9,3,0,1
2017-08-06,1,9,3,0,1
2017-08-07,1,14,3,0,0
2017-08-08,1,14,3,0,0
2017-08-09,1,14,3,0,0
2017-08-10,1,17,4,0,0
2017-08-11,1,17,4,0,0
2017-08-12,1,14,3,0,0
2017-08-13,1,17,4,0,0
2017-08-14,1,17,4,0,0
2017-08-15,1,17,3,0,0
2017-08-16,1,17,3,0,0
2017-08-17,1,26,3,0,0
2017-08-18,1,26,3,0,0
2017-08-19,1,26,3,0,0
2017-08-20,1,26,3,0,0
2017-08-21,1,25,3,0,0
2017-08-22,1,25,5,0,0
2017-08-23,1,26,5,0,0
2017-08-24,1,26,5,0,0
2017-08-25,1,25,5,0,0
2017-08-26,1,25,5,0,0
2017-08-27,1,25,5,0,0
2017-08-28,1,25,5,0,0
2017-08-29,1,25,5,0,0
2017-08-30,1,24,5,0,0
2017-08-31,1,31,5,0,0
2017-09-02,1,30,5,0,0
2017-09-03,1,30,5,0,0
2017-09-04,1,30,5,0,0
2017-09-05,1,30,5,0,0
2017-09-06,0,29,5,0,0
2017-09-07,0,29,5,0,0
2017-09-08,1,29,5,0,0
2017-09-09,1,29,5,0,0
2017-09-10,1,29,5,0,0
2017-09-11,1,29,5,0,0
2017-09-12,1,29,5,0,0
2017-09-13,2,29,5,0,0
2017-09-14,2,28,5,0,0
2017-09-15,2,30,5,0,0
2017-09-16,2,29,5,0,0
2017-09-17,2,29,5,0,0
2017-09-18,2,29,5,0,0
2017-09-19,2,35,5,0,0
2017-09-20,2,35,5,0,0
2017-09-21,2,35,5,0,0
2017-09-22,2,35,5,0,2
2017-09-23,2,35,5,0,2
2017-09-24,2,35,5,0,2
2017-09-25,2,35,5,0,2
2017-09-26,2,35,5,0,2
2017-09-27,2,33,5,0,2
2017-09-28,2,33,4,0,2
2017-09-29,2,33,4,0,2
2017-09-30,2,33,4,0,2
2017-10-02,2,33,5,0,2
2017-10-03,2,35,5,0,2
2017-10-04,2,34,5,0,2
2017-10-05,2,33,5,0,2
2017-10-06,2,33,5,0,2
2017-10-07,2,33,5,0,2
2017-10-08,2,33,5,0,2
2017-10-09,2,33,5,0,2
2017-10-10,2,33,5,0,2
2017-10-11,3,32,5,0,2
2017-10-12,3,32,5,0,2
2017-10-13,3,32,5,0,2
2017-10-14,3,32,5,0,2
2017-10-15,3,32,5,0,2
2017-10-16,3,31,5,0,2
2017-10-17,3,31,6,0,2
2017-10-18,3,31,6,0,3
2017-10-19,3,30,6,0,3
2017-10-20,3,30,6,0,3
2017-10-21,3,30,6,0,3
2017-10-22,3,30,6,0,3
2017-10-23,3,34,6,0,3
2017-10-24,3,36,6,0,3
2017-10-25,3,36,5,0,3
2017-10-26,3,36,5,0,3
2017-10-27,3,36,5,0,3
2017-10-28,3,36,5,0,3
2017-10-29,3,36,5,0,3
2017-10-30,3,36,5,0,3
2017-10-31,3,36,5,0,3
2017-11-02,3,35,5,0,3
2017-11-03,3,38,5,0,3
2017-11-04,3,38,5,0,3
2017-11-05,3,38,5,0,3
2017-11-06,4,38,6,0,3
2017-11-07,4,38,6,0,3
2017-11-08,4,34,6,0,3
2017-11-09,4,34,6,0,2
2017-11-10,4,34,6,0,2
2017-11-11,4,34,6,0,1
2017-11-12,4,34,6,0,1
2017-11-13,4,34,6,0,1
2017-11-14,4,34,6,0,2
2017-11-15,4,34,6,0,2
2017-11-16,4,34,6,0,2
2017-11-17,4,34,6,0,2
2017-11-18,3,34,6,0,2
2017-11-19,3,34,6,0,2
2017-11-20,3,34,6,0,2
2017-11-21,3,34,6,0,2
2017-11-22,3,34,5,0,2
2017-11-23,3,34,6,0,2
2017-11-24,3,34,6,0,2
2017-11-25,3,34,6,0,2
2017-11-26,3,34,6,0,2
2017-11-27,3,34,5,0,2
2017-11-28,5,34,6,0,2
