"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","755","744","170","1,178","497"
"CMCF","808","930","129","736","307"
"SMCI","636","801","175","1,076","547"
"County Jails (approved)","650","572","32","109","62"
"Youthful Offender Facility","1","6","3","22","4"
"County Jails (unapproved)","101","129","11","39","8"
"Private Prisons","513","895","290","2,036","626"
"Regional Correctional Facilities","946","1,067","341","1,261","811"
"Community Work Centers","690","470","0","5","0"
"Community Trusties","10","0","0","0"
"Pending File Review","30","5","1","4","2"
"Court Order","92","107","5","28","11"
"TOTAL CUSTODY POPULATION","5,232","5,747","1,157","6,494","2,875"
"% OF TOTAL OFFENSES","24.33%","26.72%","5.38%","30.20%","13.37%"
"Intensive Supervison Program","659","771","14","41","4"
"Earned Release Supervision","453","523","193","368","7","1 2"
