"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","726","702","189","1,204","514"
"CMCF","690","764","121","676","279"
"SMCI","622","760","172","1,086","560"
"County Jails (approved)","629","535","32","95","63"
"Youthful Offender Facility","8","4","27","4"
"County Jails (unapproved)","9","61","4","13","5"
"Private Prisons","502","822","284","2,039","648"
"Regional Correctional Facilities","915","1,024","331","1,308","825"
"Community Work Centers","686","444","0","2","0"
"Community Trusties","0","0","0"
"Pending File Review","4","0","7","0","1"
"Court Order","90","94","6","36","15"
"TOTAL CUSTODY POPULATION","4,923","5,248","1,150","6,486","2,914"
"% OF TOTAL OFFENSES","23.76%","25.33%","5.55%","31.30%","14.06%"
"Intensive Supervison Program","646","788","16","41","4"
"Earned Release Supervision","414","435","179","363","3","1 2
9 2
4 3"
