Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,223"
22-Mar-17,3345,"3,404",30,10,"3,068","1,374","1,020",0,0,66,73,72,0,0,66,10,83,77,84,70,163,5,21,69,18,81,62,0,"3,830",240,294,263,285,222,224,274,280,351,200,231,279,227,224,236,"3,053",0,"1,162","1,000",0,891,15,6,6,3,"19,149"
23-Mar-17,3340,"3,392",30,10,"3,071","1,347","1,030",0,0,75,73,72,0,0,66,10,83,82,84,68,162,5,21,69,18,79,63,0,"3,831",239,292,263,288,221,224,274,280,353,199,232,278,226,222,240,"3,058",0,"1,159","1,000",0,899,15,6,6,3,"19,124"
24-Mar-17,3340,"3,400",30,14,"3,070","1,350","1,044",0,0,74,73,74,0,0,72,10,83,82,84,70,160,5,21,78,18,77,63,0,"3,823",239,293,264,288,224,223,273,278,350,200,229,275,226,222,239,"3,056",0,"1,157",999,0,900,15,6,6,3,"19,142"
25-Mar-17,"3,340","3,400",30,14,"3,070","1,350","1,040",0,0,74,73,74,0,0,70,10,83,82,84,70,160,5,21,76,18,77,63,0,"3,820",239,293,264,288,224,223,273,277,350,200,229,273,226,222,239,"3,054",0,"1,157",998,0,899,15,6,6,3,"19,133"
26-Mar-17,"3,339","3,404",30,14,"3,070","1,350","1,036",0,0,74,73,74,0,0,70,10,83,79,84,70,160,5,20,76,18,77,63,0,"3,808",239,293,264,288,223,223,273,277,350,200,219,272,226,222,239,"3,053",0,"1,156",998,0,899,15,6,6,3,"19,119"
27-Mar-17,"3,347","3,436",30,12,"3,068","1,340","1,056",0,0,74,75,74,0,0,78,12,83,78,84,70,162,5,22,81,18,78,62,0,"3,806",239,293,263,288,222,223,271,278,352,200,229,272,226,211,239,"3,048",0,"1,153",998,0,897,13,6,4,3,"19,156"
28-Mar-17,"3,353","3,451",30,12,"3,067","1,342","1,060",0,0,74,75,73,0,0,79,12,86,78,84,72,165,6,21,82,17,74,62,0,"3,804",239,293,264,288,224,222,274,279,352,196,228,269,226,211,239,"3,047",0,"1,153",998,0,896,13,6,4,3,"19,179"
29-Mar-17,"3,367","3,418",30,14,"3,078","1,358","1,053",0,0,73,75,73,0,0,78,12,86,81,85,72,165,6,20,79,17,69,62,0,"3,817",240,292,264,288,224,223,274,279,352,200,227,269,226,220,239,"3,050",0,"1,159",996,0,895,13,6,4,3,"19,198"
30-Mar-17,"3,388","3,427",31,12,"3,073","1,345","1,040",0,0,73,74,73,0,0,77,12,84,76,85,71,165,6,22,76,16,68,62,0,"3,814",240,292,264,288,223,222,273,280,352,200,227,268,225,221,239,"3,048",0,"1,159",997,0,892,15,6,6,3,"19,193"
31-Mar-17,"3,387","3,429",31,12,"3,064","1,346","1,036",0,0,73,73,72,0,0,81,17,81,75,84,73,164,6,22,77,16,60,62,0,"3,814",240,294,264,287,223,222,271,279,347,199,227,267,234,223,237,"3,054",0,"1,163","1,000",0,891,15,6,6,3,"19,188"
Avg Population,3351,3414,30,15,3067,1366,1010,0,0,68,75,70,0,0,67,10,83,83,80,65,162,5,21,69,14,75,64,0,3813,238,293,263,287,222,223,273,278,347,199,233,280,220,221,237,3035,0,1141,999,0,895,14,5,6,3,19115
