Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,4438,300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,143"
24-Oct-16,3318,3461,35,26,2965,1287,982,0,0,63,81,54,0,0,70,14,75,72,88,63,151,6,25,70,11,71,68,0,"4,052",268,293,268,297,278,277,269,268,271,197,269,323,221,260,293,"3,058",0,"1,166",993,0,899,14,6,5,3,"19,198"
25-Oct-16,3320,3421,35,25,2970,1265,975,0,0,63,83,54,0,0,68,14,75,72,88,63,150,6,24,67,11,70,67,0,"4,089",278,292,268,305,279,277,268,277,271,197,276,321,230,259,291,"3,060",0,"1,167",993,0,900,14,6,5,3,"19,174"
26-Oct-16,3291,3442,35,16,2972,1264,972,0,0,63,83,54,0,0,68,13,75,72,88,64,150,6,24,65,11,69,67,0,"4,108",287,293,267,309,277,279,273,274,270,199,278,321,230,261,290,"3,065",0,"1,167",999,0,899,14,6,5,3,"19,179"
27-Oct-16,3284,3422,36,12,2961,1271,958,0,0,63,83,53,0,0,67,13,73,72,87,63,146,5,24,60,11,67,71,0,"4,125",287,292,270,309,276,279,273,275,269,199,278,320,230,269,299,"3,063",0,"1,164",999,0,900,15,6,5,4,"19,147"
28-Oct-16,3273,3387,36,24,2970,1247,956,0,0,65,82,52,0,0,71,13,71,69,85,62,146,5,28,60,9,67,71,0,"4,152",298,294,266,309,277,276,273,273,293,199,277,320,228,269,300,"3,064",0,"1,165",999,0,900,15,6,5,4,"19,124"
29-Oct-16,3273,3388,36,23,2969,1247,962,0,0,65,82,52,0,0,69,13,71,69,85,62,146,5,28,68,9,67,71,0,"4,152",298,294,266,308,278,276,273,273,293,199,277,320,228,269,300,"3,064",0,"1,165",999,0,900,15,6,5,4,"19,129"
30-Oct-16,3271,3365,36,23,2967,1247,961,0,0,64,82,52,0,0,69,13,71,69,85,62,146,5,28,68,9,67,71,0,"4,149",298,294,266,307,277,276,273,273,293,199,277,319,228,269,300,"3,064",0,"1,165",999,0,900,15,6,5,4,"19,098"
31-Oct-16,3277,3322,36,24,2962,1265,979,0,0,64,83,52,0,0,69,13,77,72,87,63,151,5,26,65,14,67,71,0,"4,155",297,294,265,300,279,275,273,275,317,199,275,318,226,267,295,"3,064",0,"1,168",998,0,898,15,6,5,4,"19,099"
Avg Population,3337,3471,36,24,2970,1310,970,0,0,64,82,52,0,0,61,13,73,73,86,67,149,6,27,68,11,71,68,0,"4,038",274,293,268,282,271,274,270,269,279,198,270,307,228,267,288,"3,061",0,1167,997,0,897,13,5,5,3,"19,230"
