"Month","Parolees","Probationers","Total"
"JUL","539","2,587","3,126"
"AUG","533","2,060","2,593"
"SEP","535","2,043","2,578"
"OCT","589","1,695","2,284"
"NOV","562","2,050","2,612"
"DEC","565","2,049","2,614"
"JAN","596","2,043","2,639"
"FEB","580","2,053","2,633"
"MAR","576","2,015","2,591"
"APR","578","2,012","2,590"
"MAY","566","1,989","2,555"
"JUN","547","1,964","2,511"
"TOTAL","6,766","24,560","31,326"
