"","Region I","Region II","Region III","TOTAL"
"Probation","2,049","2,673","2,434","7,156"
"Parole","2,927","1,959","3,508","8,394"
"Compact Probation","468","276","700","1,444"
"Compact Parole","178","167","262","607"
"Drug Court","987","706","1,057","2,750"
"Suspension","1","1","1","3"
"Earned Release Supervision","546","331","402","1,279"
"Medical Release","3","1","2","6"
"Non-Adjudicated Cases","766","1,036","1,367","3,169"
"Diversion Program","0","0","160","160"
"Post Release Supervision","3,691","2,011","3,284","8,986"
"ISP-Court Sentenced","304","155","410","869"
"ISP-Prison Releases","52","29","28","109"
