"Month","Parolees","Probationers","Total"
"JUL","570","2,277","2,847"
"AUG","581","1,706","2,287"
"SEP","590","1,712","2,302"
"OCT","551","2,046","2,597"
"NOV","589","1,687","2,276"
"DEC","594","1,676","2,270"
"JAN","600","1,673","2,273"
"FEB","589","1,694","2,283"
"MAR","593","1,705","2,298"
"APR","584","1,683","2,267"
"MAY","583","1,673","2,256"
"JUN","574","1,667","2,241"
"TOTAL","6,998","21,199","28,197"
