"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE","0","2","0","0","2"
"CHILD ENDANGERMENT","4","7","0","0","11"
"CHILD MOLESTATION","2","5","0","0","7"
"CHILD PORNOGRAPHY","0","2","0","0","2"
"ENTICE CHILD FOR INDECENT PURPOSES","0","1","0","0","1"
"EXPLOITATION/CHILD","1","14","0","0","15"
"FONDLING","12","14","1","0","27"
"FONDLING A CHILD","4","9","0","0","13"
"GRATIFICATION/LUST","6","11","0","0","17"
"KIDNAP MINOR","1","0","0","0","1"
"RAPE","31","4","0","0","35"
"SEX ASSAULT","2","0","0","0","2"
"SEXUAL BATTERY","51","40","0","2","93"
"STATUTORY RAPE","42","18","1","0","61"
"UNLAWFUL TOUCHING/CHILD","9","28","1","0","38"
"UNNATURAL INTERCOURSE","1","0","0","0","1"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","1","2","0","0","3"
"INCEST","2","0","0","0","2"
"SEXUAL ABUSE - VULNERABLE ADULT","1","1","0","0","2"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","0","1","0","0","1"
"TOTAL","170","159","3","2","334"
